fen,best
3R3r/r4p1k/P4B2/1p3b1P/1P6/4bp1P/R7/4K3 w - - 1 60,d8h8
8/1N3pbr/np4kn/4B3/PppN1K1R/1b4P1/4B3/8 w - - 1 39,e2h5
4k3/2R5/1R6/7N/3P1P2/1p2P2P/8/6K1 w - - 2 71,b6b8
8/4R3/1k6/p5Q1/P1r2r2/7p/8/1KB3N1 w - - 2 88,g5b5
8/pb1N2b1/1pk4p/1p2Q1qP/1P4PR/PB5r/2P1KB2/8 w - - 1 47,d7b8
1n2k3/3pp2r/7Q/r1R2pN1/2pPn2P/q1N5/2P1PP1P/B2K3R w - - 3 40,c5c8
2N2k2/8/6P1/4Q3/2p5/K7/4b3/3r4 w - - 4 108,e5h8
5R2/8/8/3K2Q1/8/7k/8/8 w - - 19 167,f8h8
7k/4N3/1B6/8/7P/K2B4/2R5/8 w - - 53 160,b6d4
2B5/8/p1p1p3/Pr2P2k/1p3p1p/2NQ1N1P/R2P1PB1/2B1K2R w K - 1 42,d3h7
4b3/2p2n2/2P5/5Qb1/5p1k/1p3Kp1/8/8 w - - 5 106,f5g4
3qkb1r/2pbp2p/rpn5/p1nP1pp1/P1P5/BP6/R2P1PPP/1N1QKBNR w k - 0 14,d1h5
R7/6R1/n2b4/P6k/1p2P1r1/RP6/K7/8 w - - 5 90,a8h8
rnb2k1r/2p2pn1/1p1p1Qp1/p2NN3/1PP1PP1p/3B2P1/PR1P3P/2B2KbR w - - 0 21,f6f7
5r2/1p2Q3/5p2/6pk/pnP3p1/P2PPP1r/RP1BN3/1N1K1B2 w - - 5 28,e7h7
4k1rQ/3r4/3P4/p1P5/1p1bpn1R/B2B1N2/P7/RNK5 w - - 1 69,h8g8
1Q6/8/kP1K4/p7/2P4p/1p5P/8/8 w - - 0 75,b8a7
3qkb2/5nQ1/pr1r2B1/2Ppp2p/PPN4P/4P1P1/8/2BnK1R1 w - - 0 34,g7f7
r3k3/3b1R2/Pb5p/pp1PP1Bp/P1p4n/5RK1/5N2/4Q3 w - - 0 64,f7f8
3Q4/8/3pk3/1Rp1p1Pp/4P1P1/2R3K1/7N/8 w - - 1 58,d8e8
N5kn/6r1/3R2P1/8/1Pp2p2/K5R1/8/1b6 w - - 10 83,d6d8
3k4/3nb3/b3PBP1/3Q4/6nr/8/3NP3/4KB1R w - - 1 36,d5d7
rn2nrk1/1p1b1p1p/2p3pQ/p3p1N1/P5P1/1PP1BK1R/4BP2/R7 w - - 1 23,h6h7
2B3R1/2B1k3/5p2/1pPp3R/2PP4/2K3b1/8/8 w - - 1 55,h5h7
1k5r/2r4p/1B2P2n/p1Q2N2/5P2/3P2P1/1bR1K1B1/RN5n w - - 0 51,c5c7
5kr1/4Rp2/5Qn1/3p1P1p/1NP3b1/r3n3/8/RNb3K1 w - - 5 41,f6f7
1n4k1/rbnrR1B1/p2q2Bp/Pp1p1N2/1P6/2pP1P2/2P1K2Q/R3b3 w - - 6 50,f5h6
8/8/k1K5/7p/7P/4R3/8/8 w - - 51 167,e3a3
k7/n7/6P1/7p/PR5P/8/1R1KN3/8 w - - 0 73,b4b8
rN2kbQr/p3n2p/8/4p1p1/Pn4P1/B2B1R1P/3P1K2/1R6 w - - 0 31,f3f8
3r4/7p/Bp2nppB/p2p4/3Pp1k1/b3Pb2/P2K3n/2R2QN1 w - - 5 54,f1h3
r1k4n/8/1BB3rP/NP3b2/1Q1p2pP/P2Pp3/R1K2P1R/8 w - - 0 58,b4f8
1n1qkbnr/rbpppp2/pp5p/6N1/P5P1/2P2P2/QP1PP2P/RNB1KB1R w KQk - 1 9,a2f7
4Q3/3N3k/6p1/p2rP3/6PB/1KP3N1/1P2p3/1b5R w - - 5 57,h4f6
rnb1nb1r/N3qp2/1pp1pkp1/6p1/PP1P1P1P/2p1Q3/1B2P3/R2K1BNR w - - 0 18,e3e5
k4N2/p5r1/P7/2pp4/8/4R3/1N2P2K/8 w - - 0 99,e3e8
r1bk4/2bp4/4p1P1/pp6/P1PPPQ1p/1pK3nP/RP6/5BNR w - - 2 37,f4f8
7N/5B2/2Q4n/5k1P/1N1P4/1p4PK/8/2b5 w - - 2 87,c6g6
4n3/6b1/rp2P3/p1k3p1/P3Q1Pp/1R5P/3R4/1q4NK w - - 8 71,e4d5
1k2bb2/rp2r2p/p6n/Q2ppppq/4PPP1/N1Pp3B/P6P/R1B2KNR w - - 7 29,a5d8
r3kbnr/pp1b1p1N/4p2p/3p4/1QP2qP1/NP5P/P1K1PP2/1R3B1R w - - 5 19,b4f8
7R/6R1/8/7r/1p6/1P2K2k/7p/5q2 w - - 3 104,h8h5
r1bq1b2/p1pkp2r/p4Q1p/3P1np1/3P4/1P5N/P1P2PPP/RNB1K2R w KQ - 0 11,f6c6
1rn3r1/3n2bp/1p5N/pPk1p2R/P3P3/2BR1P1P/8/K4B2 w - - 7 51,d3d5
2Nk2b1/8/P2K4/5RP1/8/2p5/3B4/8 w - - 2 123,f5f8
r3k2b/1Q6/3pb3/p3PNp1/PpP4p/3P1P2/3N1P1P/R3KR2 w - - 8 41,b7e7
2R5/4N2k/2r5/3P4/8/2B2p2/2K1Bnp1/6R1 w - - 2 92,c8h8
rn1qrb2/p1pbk3/N1P2p2/3p1p1p/3Q2PB/4p3/PP6/1R1K1nNR w - - 7 26,d4f6
r1b3nr/p3Qp1k/2nqp2p/6p1/1P1p1BP1/5P1P/P1P1P3/1R2KBbR w K - 1 16,e7f7
n4r2/5k2/2b1pP2/p1p1Q1bp/PP3N1p/2B2P2/6B1/R4KNR w - - 3 40,e5e6
N7/3R4/7k/4R2p/2pN3P/8/7K/1n3N2 w - - 1 78,e5e6
r7/2r5/1p2Rp1p/1PbP1kBP/p4P1R/1qN5/2PK4/8 w - - 1 62,e6f6
rn3k2/7b/1ppN3r/p3Pp2/2Q3Pp/3P4/2P4P/4RKR1 w - - 6 32,c4f7
6r1/8/8/3R4/2k5/8/2KR4/8 w - - 23 193,d2d4
3b2R1/4r3/n4N1k/5P2/2p5/1r4pP/2K5/1R6 w - - 8 75,g8g6
2b5/N2N3k/2P1B3/6P1/1p5P/1PB1p3/1R2Kb2/1r6 w - - 5 80,d7f8
8/8/rN2k3/P1b4p/4PQ1R/8/1BK3p1/3r4 w - - 0 63,f4f6
2b3n1/r2p4/p2b3r/P1pnp2k/4Pp1p/1p1B1P1P/3PR1Q1/R1BN3K w - - 0 28,g2g4
B1r4b/3n4/3k1n2/1R3pNr/p1Q2P2/P3p2P/2R1K3/8 w - - 5 51,c4e6
rnb1kbnr/pB2ppp1/q7/2pp1Q2/8/2N1P3/PPPP1PPP/R1B1K1NR w KQkq - 1 7,f5c8
1R2b1Q1/r2k4/p1n5/1N6/2P4P/2RPb1P1/P5K1/3R4 w - - 1 52,g8e8
3RK3/k7/6Q1/P7/5b2/3b4/8/8 w - - 1 107,g6b6
3kn2r/2N1p2p/2P3p1/P2p1pb1/4BP1P/1Q6/5KP1/2R5 w - - 2 47,b3b8
rnb2b2/5r2/2pB1p2/Pp1p1kp1/2PPpNp1/P7/4P2P/2RNKB1R w - - 6 34,d1e3
1k6/4r3/R1BnN3/8/1P5p/2p4P/2P5/7K w - - 7 85,a6a8
rN2kb2/4pr2/ppq4p/1B3pp1/1P3B2/Q1P2PPR/PN1R3K/8 w - - 3 40,b5c6
3r1r2/3k1Nb1/npp2P2/2P1Q3/2RPp1b1/5P1B/1Bp1P2R/2K5 w - - 0 43,h3g4
2b5/B7/3Q4/8/8/2p4k/5K2/8 w - - 9 107,d6g3
1n1qkb1r/r2bp3/p1pp1pp1/1p6/1PB1P1p1/1QP3nP/P2P1P2/RNB1K2R w KQk - 2 14,c4f7
Q1Nkr3/8/3B2p1/3nppbp/2p5/2PPqN2/3QBP2/2NRK3 w - - 1 34,c8b6
r1b5/p5br/k1n2Q2/1pp3pp/2N1p1B1/P1P3P1/1B3nRP/3RK3 w - - 2 27,f6c6
4kb2/rp2pp1r/3p2pn/pqP1P3/1nP2PQp/N4N2/PBBP3P/1R2K2R w K - 4 17,g4c8
1B5k/1b6/8/7P/PN6/3B4/4K3/6R1 w - - 0 99,b8e5
rnbqkbn1/1pppp1pr/p4p2/8/P4P1p/2PBP1P1/1P1P3P/RNBQK1NR w KQ - 3 8,d3g6
4kbnr/2p1pppp/r5B1/p2b1Q2/1nNp4/3P3P/PP1P1PP1/1RBK2NR w k - 13 18,f5c8
1k6/6R1/6n1/8/5ppp/1P1R3P/1P6/2K5 w - - 6 84,d3d8
3n1Bk1/2Q5/8/3r1Np1/p1p1p1KP/2R5/P2b3N/8 w - - 9 67,c7g7
2r4k/R4P2/3p1P1r/8/5Q1p/3nB2P/3K2b1/3R1B2 w - - 0 78,f4h6
5rQ1/r2pk2p/bq2pn1B/pN6/PR1pPp1P/5P1P/8/2n1KB1R w - - 1 32,g8f8
4kbnr/N2r3p/1P6/1B3Pp1/PBp1q3/2N4P/2P2P2/R2Q1K1R w k - 2 29,d1d7
rnbq1knr/2p1p2p/p2p3b/1p2NppQ/1PP5/P3P3/3P1PPP/RNB1KB1R w KQ - 3 8,h5f7
1nbk1bnr/2qp2p1/4pp1p/r1Q4P/pp1PR3/P1P1P3/1P1B1PP1/RN1K1BN1 w - - 0 20,c5f8
5k2/6b1/pn2Qp2/Pp2p2p/1P2P2P/2K2PPB/5B2/4R3 w - - 8 60,f2c5
3R4/1p2k3/1P6/4PbNP/B2n2p1/8/5K1R/8 w - - 0 83,d8e8
8/8/4NP2/8/1Q4K1/8/k5n1/2B5 w - - 9 153,b4b2
r2q1k1r/p1pbbppQ/1n6/1p2p2p/2pPP2P/2K1P3/PP4P1/RNB2BNR w - - 0 15,h7h8
7k/5Q2/2PP4/8/8/1p1K2p1/4R1q1/7n w - - 2 108,e2e8
7k/4nP2/1b1R4/2P5/pPP2PRp/pb5P/P3q3/7K w - - 1 89,d6h6
6Nn/8/3R4/pR4bk/P2P4/5K2/8/8 w - - 14 115,d6h6
1rbqkbr1/p2pp3/1p3np1/1Np5/2P4p/6PN/PPBPQP1P/R1B1Kn2 w Q - 0 19,b5d6
8/p1Q5/P3k3/4p1Pb/B1P3Rp/NP2b2K/3P4/7n w - - 7 62,c7d7
r4bb1/3nP1k1/p1p4p/4p3/3PP1r1/P1N3N1/1P1QBR2/R1BK4 w - - 1 40,d2h6
2bk4/4R1r1/1r4pn/p3p1pp/1b6/2PPB1PR/1P1KN1R1/3N1Q2 w - - 3 34,f1f8
rnb1kbn1/1p1pppr1/4q1pp/p7/1pQ2P1P/N1P5/P2PP1P1/R1B1KBNR w KQq - 0 10,c4c8
6B1/7R/2k5/pq6/N3K2p/5B1r/8/6R1 w - - 1 77,g1g6
2r2r2/p4k2/3B1N2/4R2P/2qQ4/pP2P3/5Knb/8 w - - 2 73,e5e7
kn5b/4p2p/1K5B/pN1P1P1R/b2r4/Pp3P2/1R6/8 w - - 5 52,b5c7
5R2/8/B3K3/8/7b/b7/3p4/4k3 w - - 2 158,f8f1
r1b1k2r/1pp1np1N/p2bN3/3p2p1/1P2pQ2/B1nP4/P1P1PP1R/R3KB2 w Qkq - 2 18,h7f6
rnbqkbnr/ppppp2p/5p2/6p1/8/4P3/PPPPBPPP/RNBQK1NR w KQkq - 0 3,e2h5
k7/p7/8/bRQ4p/3n3P/8/2N5/2K5 w - - 2 101,c5c8
r1b1k3/2npp3/7B/p2Q4/PPpPP2p/2P2P1p/R1K3BR/1N4b1 w - - 6 41,d5g8
8/k1B5/8/1p1B3p/7R/N3p3/Rb2K3/4n3 w - - 1 79,a3b5
3k4/4R3/r3p1r1/p3PP2/P2P1P1p/B7/8/1R2KBq1 w - - 3 44,b1b8
3k1b1B/rpp5/3pP3/1Qq4p/pPP2pnP/P1N2PP1/R3P1bR/4K1N1 w - - 2 28,b5d7
q2k2n1/2prp3/1p5b/1NPn2Np/1B3ppP/5P2/6b1/R5K1 w - - 9 35,a1a8
rn1qkbnr/p2bp2p/1pp5/3p1pp1/P4P2/4P3/1PPP2PP/RNBQKBNR w kq - 0 7,d1h5
3k2nr/1R6/3rp3/1p2P2p/1Pp1PPpP/2P3P1/R7/1N2K3 w - - 12 59,a2a8
1Bk5/rq3N2/p5p1/n1P1Q2p/P2Pp3/NP4P1/7P/R1b1K2R w - - 1 45,e5e8
k7/r4p1B/p2p3p/p3pB1b/P1P1P3/7P/1R6/B4KR1 w - - 1 54,g1g8
3qbb1r/2p2p1p/4kPp1/prPp2B1/P1pPP2P/3Q2P1/1R6/1NK2BNR w - - 4 21,f1h3
r1bqkbnr/p1ppp2p/np6/5pp1/1P2P3/B1N5/P1PP1PPP/R2QKBNR w KQkq - 0 5,d1h5
Brk1N2r/4Q3/p2p3n/Pp1b2p1/2P4p/bP6/3qP3/K4R2 w - - 0 43,e7c7
2b5/1N1n1kP1/2P3Rp/1P6/2r1P3/BK6/8/8 w - - 7 90,g7g8q
5k1r/1r3p1p/2R2Pn1/p1Pp4/Q1PP1N1P/8/P7/5K1R w - - 1 43,c6c8
3nk1N1/prpp1p1r/1P3n2/1b2p1p1/1B3P1P/b3q3/R2PB2p/1N2K3 w - - 8 40,g8f6
5r2/6b1/4r1PP/p2k1n2/N7/2QPpP1R/1R6/5K1B w - - 1 87,c3c5
3r1b2/2p1k1rp/pp1p1pPB/N3P3/3NP3/1PP1n2Q/4b3/R3KB1R w - - 2 31,h3e6
1n6/2p4p/2P4k/1p5r/1P3P1P/3B2R1/1B1R4/1N2K3 w - - 3 55,b2g7
6K1/4Q3/1p4b1/kP6/4R3/8/4N3/8 w - - 17 120,e7b4
rnbqkbnr/pp1pp2p/2p5/5pp1/5P2/5BP1/PPPPP2P/RNBQK1NR w KQkq - 0 5,f3h5
6k1/4P2p/7P/8/R5p1/6K1/8/8 w - - 1 132,e7e8q
3k3r/p1R1p3/5nr1/1QqP3p/3pP1PP/N6N/PP4B1/3K3R w - - 11 36,b5b8
1k2r2r/5Q1p/2B2p2/b5P1/PpP1N3/1Pp1p2R/2K2B1P/8 w - - 0 50,f7b7
7k/5B2/3BQ3/5P2/1r4P1/p2pP2N/5K2/3R4 w - - 3 92,e6h6
6rk/3N4/r1bpn1Qb/p3P2p/P4nP1/8/6R1/3K4 w - - 3 52,g6h6
4k3/8/3P4/p2PP1Q1/P7/8/B4K2/8 w - - 14 115,g5e7
k7/8/2P5/1N6/3KR2p/8/2R5/5N2 w - - 1 83,e4e8
8/8/6R1/B7/2P4p/3Nn2k/PK3P1n/8 w - - 1 69,d3f4
5R2/8/8/k7/8/8/6p1/1R4K1 w - - 4 149,f8a8
4k3/3bP3/3b4/6Bp/q6P/8/6K1/2r2R2 w - - 31 107,f1f8
6rk/1Q6/1p5p/1Rn2B1P/P2b1p1P/B7/4KR2/7r w - - 5 71,b7h7
6kb/pb2Bp1r/q1p2Pp1/3R4/6Pp/pr3P1B/P6P/RN5K w - - 1 46,d5d8
3r3r/1p4p1/p1knpNbp/B4p2/P1pP1PnP/R1P5/1QK3P1/1N3B2 w - - 1 36,b2b6
rnb1qbnr/2p1p3/1p2kp1p/p2p3Q/7p/P3P1PR/1PPP1PB1/R1BN1KN1 w - - 0 13,h5d5
2k5/7Q/R7/7P/5P2/5K2/8/8 w - - 11 92,a6a8
1n4b1/r2n4/kp3P2/p1p1p1p1/PPP1B1P1/N4P1r/8/2R1K1N1 w - - 2 46,b4b5
b3k1n1/4p3/1B2Pp2/1P5r/RRp4P/2p2p2/2N5/2K1b3 w - - 11 73,a4a8
3k1rn1/2r5/3B1R2/PB2P2P/P2p1P2/2p5/R1P2P2/3K2N1 w - - 1 49,f6f8
2B2b2/r3N2r/p2k4/1p4R1/PPQ3P1/2p1pP2/2P1P3/2B1K1N1 w - - 1 46,c4c5
8/6p1/k7/p4pn1/1PPQ4/2B5/4n1Bq/1K2R3 w - - 2 75,b4b5
1nbqkbnr/1p1pp1pp/r4p2/2pQ4/2B1P3/p1P4P/PP1P1PP1/RNB1K1NR w KQk - 0 8,d5f7
3Q4/8/3pk1Bn/1p2BppP/Q7/2P2K2/P4N1P/1b3R2 w - - 2 46,d8d6
3k4/2p1p3/2P5/1R1B1Ppp/8/4q2P/2KB1P2/1N5b w - - 1 47,b5b8
k3N2N/3b2b1/r7/p1B1P2r/1RP2KpP/1Pq3n1/8/3B4 w - - 1 60,e8c7
kb6/7R/6B1/8/8/7r/3K4/8 w - - 24 177,g6e4
8/8/8/2Q4N/8/2K5/3R4/1k6 w - - 7 163,c5g1
7k/4p2r/4Q3/n2BPp2/1P1N1NPp/p4P2/P3K3/4b2R w - - 1 52,e6g8
k6K/4R3/8/6R1/8/p7/8/1b6 w - - 16 155,g5g8
rnb2krN/1npp2pp/pp2p3/7Q/2q5/bP2P3/P2P1PP1/R3KB1R w K - 2 20,h5f7
R7/1bp1Q3/1k5r/4P3/1p1P4/8/2B1K1P1/8 w - - 1 83,e7c5
rnbqkbnr/1pppp1p1/p7/5p2/6Qp/2N1P2P/PPPP1PP1/R1B1KBNR w KQkq - 0 5,g4g6
8/3k4/1p6/1N3P1Q/3P4/r3R2p/7P/1R3n1K w - - 0 61,h5e8
2R5/B7/2N3R1/1P1p4/7k/8/6b1/1BK5 w - - 6 87,c8h8
r1b2r2/6n1/p4p2/1P1kpP1q/1Qp5/1P1P3B/3R1P1N/BN3K1R w - - 0 38,b3c4
4R3/8/8/8/8/K7/2R5/6k1 w - - 5 179,e8e1
3r2R1/4kn1p/p1n5/1p1Qb3/P3P1p1/1PN3N1/R1K2R2/5B2 w - - 3 37,f2f7
1k6/6B1/1K2p2P/8/8/5Rr1/8/3N4 w - - 7 98,f3f8
1rk3nN/2p5/2N1np1p/PRb5/4P3/2P5/P4B2/1R1QK2B w - - 3 39,b5b8
5k1b/1Q6/3P4/p2K2p1/4Bq2/p4n2/2R5/8 w - - 2 88,c2c8
4Q3/7k/8/Q3K3/8/B7/1r1Q4/8 w - - 1 110,a5c7
1R6/2k1Pr2/2pnQ1p1/p1P5/Pn1B1N2/6pB/3KP2q/8 w - - 0 47,e6d6
4B3/8/8/8/8/7K/1R1B4/3k4 w - - 3 130,e8h5
7Q/8/brk1N3/3q4/p2p1P2/3P3P/B2K2Q1/5R2 w - - 7 64,g2d5
r2q1b1r/pp1bn1pp/3p4/2pp1p2/PP1nkP2/6PP/2PPP3/R1BQKBNR w Q - 1 13,d2d3
rnbqkbnr/ppppp3/5ppQ/8/3P4/8/PPP1PPPP/RNB1KBNR w KQkq - 0 4,h6g6
2Q5/8/2n4k/8/K5Rp/7P/8/8 w - - 3 128,c8h8
8/6B1/1P6/p5Np/5b1p/2Ppk1p1/R7/3K3B w - - 8 82,g7d4
1n2k1r1/1Q2b3/rp1Pppp1/p1p2P1p/P1R3P1/1PP4P/1R6/7K w - - 0 39,b7e7
6B1/8/5p2/2k2P1P/2P5/b6K/1Q1R4/8 w - - 1 75,b2b5
7R/k7/1p6/1P6/2p2K2/2n2BP1/8/4NRN1 w - - 0 82,h8a8
rn1qkbnr/1bppp2p/p7/1p2P1p1/3P1PQ1/7N/PPP2P1P/RNB1KB1R w KQkq - 0 8,g4h5
6kN/3Q4/b7/b1PpRp2/1p1P2r1/4R3/1P6/4K3 w - - 4 67,e5e8
8/7n/8/b6k/3N2R1/5pK1/8/1R6 w - - 4 90,b1h1
2r1Nbnr/4k1np/1p4p1/p1P1N1q1/P2p2QP/3BBb2/RP1K1PPR/8 w - - 5 30,g4d7
r1bqkb1r/1pppp2p/n7/p2n2p1/1PP1pP2/N6P/P2P2P1/1RBQKBNR w Kkq - 1 8,d1h5
rn1qkbnr/p2pp3/bpp2p2/6pp/2P2P2/N2Q2P1/PP1PP2P/R1B1KBNR w KQkq - 0 7,d3g6
r3k2r/p2npp2/1p2Nn2/PN4Pp/1P1p4/4PP2/4PK1P/1qQ1R3 w kq - 1 27,b5c7
rnbqk1nr/p1ppbppp/8/1p2p1N1/3P4/5QP1/PPP1PP1P/RNB1KB1R w KQq - 0 9,f3f7
5k1r/2r1pBbp/1n1p2PB/p1n4P/Q1pPP3/1PP3p1/6bR/RN2K1N1 w - - 9 39,a4e8
3r1qnr/4k3/nQ2pppp/Pp6/P2N2P1/7B/5K1P/2R2N1R w - - 3 36,b6e6
7Q/8/4K3/2k5/8/1R6/8/8 w - - 11 166,h8c3
1QK5/1q6/k1n5/b7/8/7N/8/8 w - - 1 127,b8b7
1B2k2n/8/3Q4/5R1P/3P4/3K3N/2n5/8 w - - 0 75,f5f8
rnbqkbnr/ppppp2p/8/1B3pp1/8/4P3/PPPP1PPP/RNBQK1NR w KQkq - 0 3,d1h5
1r4n1/2q5/bb1k4/PP1p1p1p/PNpQ1PP1/4R3/2B5/5K2 w - - 4 52,d4d5
2k2r2/1b1p2pp/1Q1B3n/p7/P2rp2P/1P2P3/R3BP1R/3NNK2 w - - 7 35,b6c7
2B5/8/3b2R1/1p1kp2p/1P1p1P1P/3P4/P2Kb3/8 w - - 2 54,c8b7
3k4/6Q1/8/2P1rBp1/8/3pr3/3n2r1/3K4 w - - 5 86,g7d7
6k1/8/6P1/1n3N2/2R5/8/1K6/8 w - - 15 115,c4c8
rn6/k1P5/7Q/1P2N3/p2pBPp1/P2P3p/7P/R1K3R1 w - - 4 56,c7c8n
rk4n1/2R5/4p1r1/1pR5/4P1p1/1Pb3B1/2N2K2/8 w - - 6 81,c5b5
1r1rB3/7P/p1bPk3/2PpBp1R/3Pp3/8/8/2RK4 w - - 1 70,h5h6
2R5/8/8/3K1p2/8/3krn2/2R5/8 w - - 50 118,c8c3
rn6/3Q2r1/p4k2/5B1p/5P2/1pbp3N/5R1P/5K2 w - - 1 56,d7e6
5R2/8/4P2k/6R1/2P2B2/8/p7/2n1K3 w - - 0 105,f8h8
1N5B/2R5/2P5/k1Kp2p1/6P1/p7/8/4r3 w - - 5 96,c7a7
2k1rR2/R7/4p1pr/4P2p/P2Q1n2/4K3/6B1/1b6 w - - 7 71,f8e8
2Bk1B1R/1r6/8/2P1p3/2ppP3/7P/1p2b3/4K3 w - - 0 71,f8d6
6n1/4k3/3N2R1/pQ3p2/2P4r/2K5/P4b2/r7 w - - 3 78,b5e8
r3k2r/p1bb1p2/n1N5/1pp1p3/6PR/PPPP1qn1/RQ2B1P1/2B3K1 w kq - 0 38,h4h8
1rb5/2Bk1qbr/1p3n2/p2Pp2Q/P1N1p1P1/2P2P1P/2P3n1/3R1KNR w - - 7 41,h5f7
7R/8/8/8/8/7p/8/k1K5 w - - 11 166,h8a8
1R5r/4pp2/4kb2/p1p1P1p1/P1nP1PPr/P3N3/2Q1n2P/5KNR w - - 1 46,c2f5
Q2r1k1N/1b5p/3p3P/8/2R1Pp2/3p1Kp1/1P6/5n2 w - - 2 55,a8d8
8/7b/7k/3Q3p/7P/8/8/4K3 w - - 9 121,d5g5
r1b1k3/1pQ1nR1r/p2pp3/2p1P3/n2N3p/2P5/PPNP2B1/1RB1K3 w q - 1 24,c7e7
rnbqkbnr/1pppp2p/p7/5pp1/8/4P1PP/PPPP1P2/RNBQKBNR w KQkq - 0 4,d1h5
r1bBk1r1/p1np1p2/1P6/1p1n3P/5N2/2P5/4K1R1/4R3 w q - 1 40,g2g8
6k1/6p1/nr4P1/2p2p2/1p3P2/pP3B2/P1K5/3RN3 w - - 10 57,d1d8
k7/2R5/1K6/8/7p/3r4/2B5/8 w - - 25 98,c7c8
1k6/6R1/6p1/3R1pP1/3n1P1p/7P/4N3/6K1 w - - 9 81,d5d8
3rNb1r/p1qpn1np/b3k1p1/1Bp1p1Q1/2P1P3/8/3P1PPP/2B1K1NR w - - 3 24,g5f6
1rk5/1rP3p1/7p/pb1Qn3/8/N7/1bK3B1/3n4 w - - 1 62,d5d8
2rnkb2/p2qpppr/1P5n/P1pR3p/1Q4B1/N4P2/1P1Pb1NP/2B1K1R1 w - - 4 28,g4d7
r1b1n3/3pp3/pp2kp2/P2q2R1/RP1pPb2/1QPP2r1/N3K3/8 w - - 10 46,b3d5
6nr/3k2p1/rp6/p3bpB1/2Q4P/5PR1/P1R1P3/3K1B2 w - - 1 41,c4c6
b6B/2r5/6nn/p3p2k/P4RNP/2R3p1/2P5/2K5 w - - 19 77,g4f6
k5b1/6R1/p7/P6N/3Pp2P/8/8/K1R5 w - - 4 98,c1c8
B5Q1/2k5/8/1K3N2/P7/8/1p6/4R3 w - - 1 125,e1e7
k2qR3/r5P1/2P5/8/5p2/8/8/2K5 w - - 12 99,e8d8
1rbqkbnr/2ppp2p/8/pp3pp1/Pn5N/R1P1P2P/3P1PP1/1NBQKB1R w Kk - 1 10,d1h5
2Q5/k7/8/4B3/8/8/8/K7 w - - 1 135,e5d4
5bk1/2Q4R/6r1/4pB2/1BP1n3/1N2pn2/P4P2/2RK4 w - - 0 43,c7f7
k7/r1P5/6P1/3np3/7p/1p6/1K6/7B w - - 0 92,c7c8q
r3kbn1/1Q3p2/Rp1Pp3/7r/5p2/1pP2R1p/1B3K1P/8 w q - 0 37,a6a8
1nbq2n1/1p1p1pb1/rk2p2r/p1p3pp/2Q1P3/P1PPBPP1/1P5P/RN2KBNR w KQ - 3 13,c4c5
rnbqnk1r/1ppppp2/p5pp/3P4/1PPQ4/B4P2/P3K1PP/RN3BNR w - - 1 11,d4h8
q2rkr2/7p/3p2pP/pp4P1/Pp6/1Q1PKB2/8/b1B3N1 w - - 1 54,b3e6
8/R7/2r2n1k/4pKp1/3B2rP/8/7R/1N6 w - - 6 75,h4g5
7k/3R4/1R6/6n1/3n4/6pr/r7/bK6 w - - 1 91,b6b8
4k3/5RP1/8/8/2P5/8/1K6/8 w - - 11 150,g7g8q
2b5/rPpkb2r/B4p2/p3p3/P3p1pp/B4n2/QP3PNP/1qR2K1R w - - 1 32,b7c8q
7n/Q7/3P2kP/4n3/8/6N1/p7/2K5 w - - 13 118,a7g7
1b2R3/3k4/ppr2p2/Pn3Npb/1P4P1/2P5/1B1pR2n/7K w - - 2 66,e2e7
b4r1k/p2r1p1p/4pn2/n1p3Q1/1P1B4/RP1P1pP1/2K2PB1/1N4qR w - - 11 31,d4f6
6Q1/8/4n2k/p6P/7r/8/1K6/8 w - - 7 132,g8g6
r2q3r/7k/p5p1/6P1/2P1N1pP/P1B3R1/3R1Q2/7K w - - 6 67,f2f7
2b2bn1/1pqnp2r/1rp1kpp1/pN5p/NP3PP1/PR1QP3/2PP3P/2B1KB1R w K - 1 17,d3c4
2k2rn1/4p3/4b2b/p4P1p/3R4/3P1Q1P/2r1BK1B/1N6 w - - 4 48,f3a8
2n3r1/7p/p1np4/1p1P2p1/1P2Ppk1/6Pb/RK1N2BP/6R1 w - - 8 42,g2f3
8/3R4/6Q1/5K2/8/7k/8/8 w - - 43 228,d7h7
4r3/k7/8/6RP/8/N7/8/1Q5K w - - 7 104,g5a5
8/r1r5/pNk2PBB/4p3/1Q1ppPb1/3P4/3K4/R6R w - - 3 61,g6e4
5k2/8/5K2/1n6/5p2/5P2/7R/8 w - - 20 140,h2h8
3r4/8/8/6R1/3k1p2/5Q1P/1R1p2B1/7K w - - 0 68,b2b4
r4k1r/2p2q2/n1p1P1Q1/p1n4p/P1Pp1p2/2R2P1b/4N3/4KN2 w - - 3 44,g6f7
1nb1k3/r2pP2q/p2P2pB/PpP4P/2P1P3/N2N4/4B1K1/n4R1R w - - 5 37,f1f8
4k2B/6RR/1P6/p2K2b1/6n1/6p1/8/1B6 w - - 4 92,g7g8
2rk3B/p3p3/PP2P3/3p1R1p/3p3P/3P1p2/2B3P1/7K w - - 1 49,f5f8
rq2n3/4b1p1/2nbkPB1/p1p3Q1/P2P3P/Rp3p1N/1P6/2K3B1 w - - 1 59,g5f5
b1r3n1/r7/2pp1k2/p3R3/Q5R1/4P1N1/1P3P2/1KBN2b1 w - - 6 42,a4f4
3R4/2K5/2B5/k7/8/1R6/8/8 w - - 19 128,d8a8
